avaliacoes,iteracao,temperatura
645601,645500,54.1637
646101,646000,54.1637
646601,646500,54.1637
647101,647000,54.1637
647601,647500,54.1637
648101,648000,54.1637
648601,648500,54.1637
649101,649000,54.1637
649601,649500,54.1637
650101,650000,51.4555
650601,650500,51.4555
651101,651000,51.4555
651601,651500,51.4555
652101,652000,51.4555
652601,652500,51.4555
653101,653000,51.4555
653601,653500,51.4555
654101,654000,51.4555
654601,654500,51.4555
655101,655000,51.4555
655601,655500,51.4555
656101,656000,51.4555
656601,656500,51.4555
657101,657000,51.4555
657601,657500,51.4555
658101,658000,51.4555
658601,658500,51.4555
659101,659000,51.4555
659601,659500,51.4555
660101,660000,48.8827
660601,660500,48.8827
661101,661000,48.8827
661601,661500,48.8827
662101,662000,48.8827
662601,662500,48.8827
663101,663000,48.8827
663601,663500,48.8827
664101,664000,48.8827
664601,664500,48.8827
665101,665000,48.8827
665601,665500,48.8827
666101,666000,48.8827
