avaliacoes,iteracao,custo_melhor,custo_medio
70170,715,9634.9712,10140.0299
70268,716,9634.9712,10260.1488
70366,717,9634.9712,10370.0310
70464,718,9634.9712,10530.4113
70562,719,9634.9712,10598.2072
70660,720,9634.9712,10536.7835
70758,721,9634.9712,10505.3358
70856,722,9634.9712,10360.5965
70954,723,9634.9712,10381.0953
71052,724,9634.9712,10573.7888
71150,725,9634.9712,10696.7880
71248,726,9634.9712,10787.6701
71346,727,9634.9712,10726.0140
71444,728,9634.9712,10825.1259
71542,729,9634.9712,10726.3908
71640,730,9634.9712,10690.8969
71738,731,9634.9712,10646.9476
71836,732,9634.9712,10588.8442
71934,733,9622.4934,10636.2404
72032,734,9622.4934,10766.1873
72130,735,9622.4934,10805.3528
72228,736,9583.2416,10958.7227
72326,737,9575.2351,10797.8298
72424,738,9575.2351,10553.1839
72522,739,9575.2351,10449.7939
72620,740,9575.2351,10260.4171
72718,741,9575.2351,10056.7527
72816,742,9532.1598,9873.3475
72914,743,9532.1598,9919.9166
73012,744,9524.1533,9876.3202
73110,745,9524.1533,9919.5676
73208,746,9524.1533,9963.9587
73306,747,9524.1533,9971.9073
73404,748,9524.1533,10034.3158
73502,749,9524.1533,9918.5330
73600,750,9524.1533,9926.4502
73698,751,9524.1533,10032.0938
73796,752,9524.1533,10090.9871
73894,753,9504.3685,9868.7771
73992,754,9504.3685,9773.8040
74090,755,9504.3685,9654.3048
74188,756,9504.3685,9737.9790
74286,757,9402.2391,9662.7225
74384,758,9402.2391,9693.3839
74482,759,9402.2391,9771.0783
74580,760,9402.2391,9656.6367
74678,761,9402.2391,9637.4482
74776,762,9402.2391,9689.7603
74874,763,9402.2391,9554.9893
74972,764,9355.3018,9662.0875
75070,765,9355.3018,9592.1133
75168,766,9355.3018,9616.4042
75266,767,9355.3018,9721.5269
75364,768,9355.3018,9609.7452
75462,769,9355.3018,9641.8385
75560,770,9355.3018,9713.2658
75658,771,9355.3018,9742.6766
75756,772,9355.3018,9824.1600
75854,773,9355.3018,9706.1368
75952,774,9355.3018,9808.5236
76050,775,9355.3018,9840.1277
76148,776,9355.3018,9973.4067
76246,777,9355.3018,10000.7774
76344,778,9355.3018,10070.1990
76442,779,9355.3018,9908.8520
76540,780,9355.3018,9727.8366
76638,781,9355.3018,9839.5839
76736,782,9355.3018,10093.9707
76834,783,9355.3018,10060.6676
76932,784,9355.3018,10008.7770
77030,785,9355.3018,10053.0894
77128,786,9355.3018,10119.2185
77226,787,9355.3018,9870.5202
77324,788,9355.3018,9948.3145
77422,789,9355.3018,9925.1658
77520,790,9355.3018,9697.3657
77618,791,9355.3018,9718.2683
77716,792,9355.3018,9783.3452
77814,793,9355.3018,9765.0705
77912,794,9355.3018,9680.6650
78010,795,9355.3018,9709.3504
78108,796,9355.3018,9829.7705
78206,797,9355.3018,10062.2710
78304,798,9355.3018,10243.4509
78402,799,9355.3018,10207.7939
78500,800,9355.3018,10004.6079
78598,801,9355.3018,10161.5554
78696,802,9355.3018,10198.9572
78794,803,9355.3018,10274.3152
78892,804,9355.3018,10135.2346
78990,805,9355.3018,10405.4816
79088,806,9355.3018,10395.6650
79186,807,9355.3018,10433.0296
79284,808,9355.3018,10363.3918
79382,809,9355.3018,10297.9341
79480,810,9355.3018,10295.1951
79578,811,9355.3018,10167.4966
79676,812,9355.3018,10131.6003
79774,813,9355.3018,10143.2029
79872,814,9355.3018,10130.0357
79970,815,9355.3018,10028.6669
